PATTERN	1-24-C	1-24-P	10-24-C	10-24-P	10-48-C	10-48-P	11-24-C	11-24-P	11-48-C	11-48-P	12-24-C	12-24-P	12-48-C	12-48-P	13-24-C	13-24-P	13-48-C	13-48-P	15-24-C	15-24-P	15-48-C	15-48-P	16-24-C	16-24-P	16-48-C	16-48-P	17-24-C	17-24-P	17-48-C	17-48-P	18-24-C	18-24-P	18-48-C	18-48-P	19-24-C	19-24-P	19-48-C	19-48-P	2-24-C	2-24-P	2-48-C	2-48-P	20-24-C	20-24-P	20-48-C	20-48-P	21-24-C	21-24-P	21-48-C	21-48-P	22-24-C	22-24-P	22-48-C	22-48-P	23-24-C	23-24-P	23-48-C	23-48-P	24-24-C	24-24-P	24-48-C	24-48-P	25-24-C	25-24-P	25-48-C	25-48-P	26-24-C	26-24-P	26-48-C	26-48-P	27-24-C	27-24-P	27-48-C	27-48-P	28-24-C	28-24-P	28-48-C	28-48-P	29-24-C	29-24-P	29-48-C	29-48-P	3-24-C	3-24-P	3-48-C	3-48-P	30-24-C	30-24-P	30-48-C	30-48-P	31-24-C	31-24-P	31-48-C	31-48-P	32-24-C	32-24-P	32-48-C	32-48-P	33-24-C	33-24-P	33-48-C	33-48-P	35-24-C	35-24-P	35-48-C	35-48-P	36-24-C	36-24-P	36-48-C	36-48-P	37-24-C	37-24-P	37-48-C	37-48-P	38-24-C	38-24-P	38-48-C	38-48-P	39-24-C	39-24-P	39-48-C	39-48-P	4-24-C	4-24-P	4-48-C	4-48-P	40-24-C	40-24-P	40-48-C	40-48-P	41-24-C	41-24-P	41-48-C	41-48-P	42-24-C	42-24-P	42-48-C	42-48-P	44-24-C	44-24-P	44-48-C	44-48-P	45-24-C	45-24-P	45-48-C	45-48-P	47-24-C	47-24-P	47-48-C	47-48-P	48-24-C	48-24-P	48-48-C	48-48-P	49-24-C	49-24-P	49-48-C	49-48-P	5-24-C	5-24-P	5-48-C	5-48-P	50-24-C	50-24-P	50-48-C	50-48-P	51-24-C	51-24-P	51-48-C	51-48-P	52-24-C	52-24-P	52-48-C	52-48-P	53-24-C	53-24-P	53-48-C	53-48-P	54-24-C	54-24-P	54-48-C	54-48-P	56-24-C	56-24-P	56-48-C	56-48-P	57-24-C	57-24-P	57-48-C	57-48-P	58-24-C	58-24-P	58-48-C	58-48-P	59-24-C	59-24-P	59-48-C	59-48-P	6-24-C	6-24-P	6-48-C	6-48-P	62-24-C	62-24-P	62-48-C	62-48-P	63-24-C	63-24-P	63-48-C	63-48-P	64-24-C	64-24-P	64-48-C	64-48-P	65-24-C	65-24-P	65-48-C	65-48-P	7-24-C	7-24-P	7-48-C	7-48-P	70-24-C	70-24-P	70-48-C	70-48-P	72-24-C	72-24-P	72-48-C	72-48-P	79-24-C	79-24-P	79-48-C	79-48-P	8-24-C	8-24-P	8-48-C	8-48-P	80-24-C	80-24-P	80-48-C	80-48-P	81-24-C	81-24-P	81-48-C	81-48-P	83-24-C	83-24-P	83-48-C	83-48-P	9-24-C	9-24-P	9-48-C	9-48-P
a little	0	2	0	3	0	0	0	0	0	0	0	1	1	3	0	2	2	5	0	0	0	3	0	0	2	5	0	0	0	2	0	0	0	0	1	1	0	1	1	1	0	1	0	3	0	1	1	3	1	8	0	0	3	1	0	0	0	2	2	3	1	14	0	0	0	3	0	0	0	1	1	1	0	2	0	1	0	6	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	12	0	0	0	1	0	0	0	4	0	1	1	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	4	3	0	2	0	9	0	0	0	0	0	0	0	9	0	0	0	2	0	0	2	0	1	1	0	0	1	6	0	4	0	0	5	1	0	0	0	3	0	2	0	0	1	1	2	4	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	5	0	0	0	2	0	0	0	1	0	1	0	7	0	5	0	6	0	0	0	1	0	0	5	1	0	1	4	2	0	0	1	3	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	2	0	0	0	0	0	6	1	1	0	1	0	4
a lot	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	1	2	0	1	0	0	0	5	1	1	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	2	1	3	0	0	1	1	0	0	0	1
above	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
across	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
against	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahead	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all	0	1	2	0	2	2	0	3	1	2	0	1	4	2	0	0	0	10	0	3	0	16	0	0	0	9	0	1	4	8	0	0	2	0	0	0	4	2	1	3	2	6	0	3	0	7	2	6	2	4	0	0	1	4	0	1	0	1	2	7	2	16	0	4	1	1	2	4	1	2	0	2	2	1	0	3	0	9	0	2	0	7	0	1	0	1	0	4	0	7	0	0	0	0	0	4	0	3	0	0	0	4	3	1	1	9	0	5	2	7	0	6	0	5	0	1	0	3	0	3	4	2	0	1	1	5	0	2	1	2	1	0	0	2	1	0	2	1	0	2	1	6	4	0	1	2	0	0	0	5	0	2	2	9	0	0	2	3	0	1	2	9	0	0	0	0	0	1	1	2	0	1	2	8	2	0	2	6	0	3	0	5	0	1	2	5	3	4	6	1	1	0	0	4	0	3	2	6	0	0	1	1	1	2	1	6	2	1	5	12	0	1	1	2	0	2	0	2	0	0	0	4	0	0	1	4	1	0	0	0	0	10	0	13	0	1	1	14	0	2	2	4	0	0	1	2	2	4	1	10	0	5	0	9
alligator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
along	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
am i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
