_ID	PUZZLE	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK
1	24	C	133	504	254	75
1	24	P	183	867	254	147
10	24	C	141	467	254	60
10	24	P	248	1510	254	346
10	48	C	146	534	254	84
10	48	P	254	1390	254	315
11	24	C	93	320	254	25
11	24	P	157	724	254	94
11	48	C	182	1012	254	130
11	48	P	234	2611	254	341
12	24	C	107	359	254	60
12	24	P	122	373	254	66
12	48	C	170	728	254	141
12	48	P	178	716	254	140
13	24	C	68	140	254	27
13	24	P	140	459	254	79
13	48	C	101	442	254	88
13	48	P	268	2209	254	449
15	24	C	63	167	254	24
15	24	P	166	1154	254	237
15	48	C	123	409	254	52
15	48	P	268	2834	254	522
16	24	C	102	283	254	69
16	24	P	173	484	254	108
16	48	C	125	346	254	67
16	48	P	277	1301	254	258
17	24	C	113	359	254	53
17	24	P	109	490	254	71
17	48	C	155	846	254	125
17	48	P	184	1137	254	175
18	24	C	65	239	254	41
18	24	P	97	422	254	36
18	48	C	161	1113	254	184
18	48	P	141	822	254	70
19	24	C	39	66	254	8
19	24	P	81	153	254	29
19	48	C	160	434	254	64
19	48	P	160	516	254	90
2	24	C	131	388	254	49
2	24	P	155	462	254	73
2	48	C	168	629	254	102
2	48	P	209	839	254	118
20	24	C	54	111	254	12
20	24	P	189	733	254	182
20	48	C	97	282	254	33
20	48	P	257	1173	254	253
21	24	C	116	339	254	48
21	24	P	255	1456	254	299
21	48	C	145	561	254	71
21	48	P	303	2086	254	349
22	24	C	146	328	254	68
22	24	P	198	975	254	172
22	48	C	158	506	254	101
22	48	P	264	1774	254	322
23	24	C	79	136	254	24
23	24	P	153	686	254	125
23	48	C	136	502	254	76
23	48	P	244	1764	254	292
24	24	C	212	777	254	115
24	24	P	314	2240	254	460
24	48	C	201	831	254	136
24	48	P	341	3062	254	574
25	24	C	75	232	254	62
25	24	P	122	368	254	75
25	48	C	171	616	254	95
25	48	P	220	1206	254	260
26	24	C	79	215	254	24
26	24	P	248	1490	254	259
26	48	C	152	412	254	55
26	48	P	265	1611	254	276
27	24	C	139	344	254	34
27	24	P	131	294	254	43
27	48	C	158	555	254	71
27	48	P	200	870	254	110
28	24	C	92	243	254	35
28	24	P	246	1326	254	231
28	48	C	133	405	254	35
28	48	P	306	2258	254	349
29	24	C	64	165	254	15
29	24	P	136	695	254	101
29	48	C	155	611	254	66
29	48	P	222	1719	254	235
3	24	C	52	90	254	13
3	24	P	119	534	254	76
3	48	C	78	219	254	29
3	48	P	158	808	254	126
30	24	C	68	182	254	51
30	24	P	194	643	254	123
30	48	C	119	400	254	59
30	48	P	259	1789	254	312
31	24	C	42	69	254	14
31	24	P	103	321	254	37
31	48	C	54	84	254	9
31	48	P	114	343	254	69
32	24	C	79	150	254	12
32	24	P	101	262	254	52
32	48	C	139	440	254	71
32	48	P	164	727	254	112
33	24	C	9	9	254	2
33	24	P	113	450	254	77
33	48	C	60	125	254	26
33	48	P	200	1321	254	257
35	24	C	104	452	254	98
35	24	P	167	886	254	182
35	48	C	102	583	254	103
35	48	P	219	1903	254	373
36	24	C	57	134	254	23
36	24	P	201	1593	254	274
36	48	C	122	350	254	42
36	48	P	227	1788	254	258
37	24	C	109	291	254	42
37	24	P	238	916	254	196
37	48	C	93	242	254	27
37	48	P	270	1825	254	406
38	24	C	136	338	254	60
38	24	P	208	663	254	120
38	48	C	124	319	254	62
38	48	P	271	1532	254	305
39	24	C	58	123	254	16
39	24	P	150	634	254	117
39	48	C	87	183	254	29
39	48	P	223	1438	254	219
4	24	C	91	242	254	35
4	24	P	161	595	254	104
4	48	C	145	484	254	69
4	48	P	212	1129	254	207
40	24	C	90	226	254	35
40	24	P	124	350	254	60
40	48	C	162	676	254	99
40	48	P	178	949	254	136
41	24	C	120	473	254	65
41	24	P	174	853	254	125
41	48	C	181	845	254	129
41	48	P	195	1076	254	183
42	24	C	88	258	254	23
42	24	P	184	801	254	127
42	48	C	98	327	254	37
42	48	P	176	728	254	144
44	24	C	85	162	254	14
44	24	P	143	438	254	59
44	48	C	129	508	254	65
44	48	P	200	914	254	148
45	24	C	151	409	254	67
45	24	P	153	426	254	76
45	48	C	232	824	254	132
45	48	P	268	1243	254	222
47	24	C	63	161	254	34
47	24	P	124	437	254	66
47	48	C	125	401	254	68
47	48	P	181	1083	254	199
48	24	C	37	86	254	16
48	24	P	70	226	254	39
48	48	C	142	560	254	109
48	48	P	143	689	254	123
49	24	C	126	330	254	36
49	24	P	122	334	254	46
49	48	C	190	789	254	101
49	48	P	210	833	254	133
5	24	C	104	294	254	43
5	24	P	238	1219	254	230
5	48	C	171	674	254	103
5	48	P	334	2087	254	349
50	24	C	100	267	254	33
50	24	P	133	414	254	77
50	48	C	150	737	254	104
50	48	P	215	1574	254	308
51	24	C	78	174	254	23
51	24	P	163	601	254	115
51	48	C	87	247	254	40
51	48	P	223	1132	254	238
52	24	C	80	254	254	40
52	24	P	153	1026	254	190
52	48	C	145	501	254	64
52	48	P	201	1302	254	195
53	24	C	129	482	254	86
53	24	P	189	875	254	168
53	48	C	179	749	254	147
53	48	P	273	2090	254	486
54	24	C	33	57	254	8
54	24	P	113	444	254	87
54	48	C	88	209	254	23
54	48	P	202	1436	254	201
56	24	C	59	87	254	13
56	24	P	179	1113	254	252
56	48	C	135	363	254	51
56	48	P	224	1581	254	277
57	24	C	83	150	254	26
57	24	P	85	199	254	35
57	48	C	190	712	254	101
57	48	P	169	577	254	111
58	24	C	62	178	254	18
58	24	P	198	887	254	158
58	48	C	106	320	254	50
58	48	P	227	1251	254	239
59	24	C	57	173	254	12
59	24	P	117	531	254	78
59	48	C	192	947	254	109
59	48	P	219	1477	254	216
6	24	C	58	108	254	16
6	24	P	89	194	254	19
6	48	C	112	332	254	71
6	48	P	161	553	254	92
62	24	C	128	360	254	48
62	24	P	195	882	254	167
62	48	C	133	466	254	59
62	48	P	228	1531	254	327
63	24	C	133	468	254	86
63	24	P	203	912	254	200
63	48	C	152	590	254	81
63	48	P	311	2331	254	471
64	24	C	91	247	254	45
64	24	P	150	441	254	78
64	48	C	185	570	254	76
64	48	P	244	1467	254	251
65	24	C	83	190	254	27
65	24	P	148	645	254	102
65	48	C	127	496	254	59
65	48	P	220	1359	254	186
7	24	C	63	150	254	19
7	24	P	158	583	254	122
7	48	C	152	531	254	82
7	48	P	197	1115	254	216
70	24	C	73	140	254	23
70	24	P	184	752	254	135
70	48	C	192	613	254	77
70	48	P	329	2418	254	345
72	24	C	43	69	254	11
72	24	P	63	130	254	10
72	48	C	65	139	254	18
72	48	P	118	415	254	34
79	24	C	79	200	254	31
79	24	P	152	643	254	157
79	48	C	138	476	254	70
79	48	P	230	1714	254	310
8	24	C	60	162	254	14
8	24	P	194	1390	254	275
8	48	C	107	302	254	26
8	48	P	282	2516	254	433
80	24	C	173	601	254	88
80	24	P	181	619	254	117
80	48	C	205	853	254	116
80	48	P	233	1338	254	246
81	24	C	82	223	254	23
81	24	P	154	477	254	61
81	48	C	116	360	254	25
81	48	P	225	1240	254	153
