_ID	PUZZLE	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK
1	24	C	133	504	254	94
1	24	P	183	867	254	179
10	24	C	137	438	254	85
10	24	P	221	1219	254	337
10	48	C	138	486	254	98
10	48	P	234	1199	254	312
11	24	C	93	320	254	35
11	24	P	157	724	254	119
11	48	C	118	459	254	69
11	48	P	178	1726	254	270
12	24	C	107	359	254	62
12	24	P	122	373	254	74
12	48	C	165	698	254	150
12	48	P	176	703	254	155
13	24	C	68	140	254	48
13	24	P	140	459	254	90
13	48	C	77	309	254	105
13	48	P	226	1568	254	393
15	24	C	63	167	254	29
15	24	P	166	1154	254	254
15	48	C	86	222	254	41
15	48	P	200	1517	254	356
16	24	C	102	283	254	84
16	24	P	173	484	254	135
16	48	C	118	322	254	69
16	48	P	270	1214	254	278
17	24	C	113	359	254	60
17	24	P	109	490	254	87
17	48	C	153	829	254	134
17	48	P	177	1081	254	175
18	24	C	65	239	254	45
18	24	P	97	422	254	39
18	48	C	134	786	254	152
18	48	P	112	574	254	68
19	24	C	39	66	254	11
19	24	P	81	153	254	33
19	48	C	160	434	254	73
19	48	P	160	516	254	105
2	24	C	131	388	254	76
2	24	P	155	462	254	101
2	48	C	168	629	254	120
2	48	P	209	839	254	151
20	24	C	54	111	254	19
20	24	P	189	733	254	208
20	48	C	97	282	254	51
20	48	P	257	1173	254	305
21	24	C	116	339	254	75
21	24	P	255	1456	254	323
21	48	C	124	478	254	102
21	48	P	272	1691	254	323
22	24	C	146	328	254	93
22	24	P	198	975	254	250
22	48	C	138	403	254	109
22	48	P	226	1306	254	308
23	24	C	79	136	254	32
23	24	P	153	686	254	160
23	48	C	119	398	254	79
23	48	P	228	1545	254	310
24	24	C	170	572	254	126
24	24	P	253	1481	254	367
24	48	C	145	512	254	137
24	48	P	238	1644	254	378
25	24	C	75	232	254	73
25	24	P	122	368	254	95
25	48	C	124	373	254	83
25	48	P	186	816	254	221
26	24	C	79	215	254	37
26	24	P	248	1490	254	312
26	48	C	120	307	254	64
26	48	P	249	1425	254	307
27	24	C	139	344	254	44
27	24	P	131	294	254	53
27	48	C	158	555	254	78
27	48	P	200	870	254	139
28	24	C	92	243	254	45
28	24	P	246	1326	254	275
28	48	C	127	368	254	37
28	48	P	298	2119	254	394
29	24	C	64	165	254	24
29	24	P	136	695	254	128
29	48	C	129	467	254	66
29	48	P	196	1336	254	211
3	24	C	52	90	254	19
3	24	P	119	534	254	91
3	48	C	78	219	254	36
3	48	P	158	808	254	147
30	24	C	68	182	254	70
30	24	P	194	643	254	151
30	48	C	112	372	254	67
30	48	P	251	1632	254	341
31	24	C	42	69	254	18
31	24	P	103	321	254	69
31	48	C	54	84	254	14
31	48	P	114	343	254	83
32	24	C	79	150	254	19
32	24	P	101	262	254	62
32	48	C	139	440	254	88
32	48	P	164	727	254	138
33	24	C	9	9	254	2
33	24	P	113	450	254	84
33	48	C	60	125	254	37
33	48	P	200	1321	254	275
35	24	C	104	452	254	146
35	24	P	167	886	254	219
35	48	C	83	368	254	125
35	48	P	172	1139	254	263
36	24	C	57	134	254	36
36	24	P	201	1593	254	328
36	48	C	121	335	254	58
36	48	P	224	1700	254	277
37	24	C	109	291	254	62
37	24	P	238	916	254	234
37	48	C	93	242	254	44
37	48	P	270	1825	254	457
38	24	C	136	338	254	84
38	24	P	208	663	254	139
38	48	C	115	287	254	59
38	48	P	263	1438	254	329
39	24	C	58	123	254	19
39	24	P	150	634	254	131
39	48	C	75	146	254	29
39	48	P	186	1051	254	183
4	24	C	91	242	254	47
4	24	P	161	595	254	117
4	48	C	145	484	254	80
4	48	P	212	1129	254	236
40	24	C	90	226	254	46
40	24	P	124	350	254	73
40	48	C	162	676	254	121
40	48	P	178	949	254	170
41	24	C	120	473	254	85
41	24	P	174	853	254	144
41	48	C	173	815	254	143
41	48	P	190	1033	254	206
42	24	C	86	256	254	38
42	24	P	179	785	254	168
42	48	C	95	315	254	43
42	48	P	176	717	254	164
44	24	C	85	162	254	20
44	24	P	143	438	254	70
44	48	C	129	508	254	67
44	48	P	200	914	254	159
45	24	C	151	409	254	80
45	24	P	153	426	254	85
45	48	C	195	650	254	129
45	48	P	248	1033	254	213
47	24	C	63	161	254	41
47	24	P	124	437	254	91
47	48	C	118	362	254	90
47	48	P	179	1029	254	244
48	24	C	37	86	254	21
48	24	P	70	226	254	51
48	48	C	142	560	254	128
48	48	P	143	689	254	136
49	24	C	126	330	254	39
49	24	P	122	334	254	53
49	48	C	190	789	254	116
49	48	P	210	833	254	156
5	24	C	104	294	254	54
5	24	P	238	1219	254	280
5	48	C	151	562	254	134
5	48	P	307	1688	254	340
50	24	C	100	267	254	45
50	24	P	133	414	254	108
50	48	C	135	585	254	105
50	48	P	192	1258	254	319
51	24	C	78	174	254	28
51	24	P	163	601	254	131
51	48	C	86	242	254	46
51	48	P	218	1048	254	244
52	24	C	80	254	254	58
52	24	P	153	1026	254	235
52	48	C	145	501	254	75
52	48	P	201	1302	254	261
53	24	C	129	482	254	98
53	24	P	189	875	254	200
53	48	C	140	508	254	105
53	48	P	211	1242	254	307
54	24	C	33	57	254	10
54	24	P	113	444	254	96
54	48	C	88	209	254	35
54	48	P	202	1436	254	241
56	24	C	59	87	254	19
56	24	P	179	1113	254	292
56	48	C	125	324	254	60
56	48	P	217	1508	254	343
57	24	C	83	150	254	27
57	24	P	85	199	254	41
57	48	C	182	652	254	112
57	48	P	152	474	254	98
58	24	C	62	178	254	24
58	24	P	198	887	254	207
58	48	C	106	320	254	66
58	48	P	227	1251	254	283
59	24	C	57	173	254	18
59	24	P	117	531	254	104
59	48	C	182	836	254	119
59	48	P	199	1219	254	232
6	24	C	58	108	254	17
6	24	P	89	194	254	26
6	48	C	112	332	254	78
6	48	P	161	553	254	105
62	24	C	128	360	254	56
62	24	P	195	882	254	206
62	48	C	133	466	254	65
62	48	P	228	1531	254	374
63	24	C	133	468	254	88
63	24	P	203	912	254	208
63	48	C	90	289	254	31
63	48	P	244	1538	254	333
64	24	C	91	247	254	53
64	24	P	150	441	254	92
64	48	C	175	507	254	81
64	48	P	233	1350	254	255
65	24	C	83	190	254	41
65	24	P	148	645	254	133
65	48	C	127	496	254	80
65	48	P	220	1359	254	269
7	24	C	63	150	254	21
7	24	P	158	583	254	150
7	48	C	152	531	254	94
7	48	P	197	1115	254	253
70	24	C	73	140	254	32
70	24	P	184	752	254	162
70	48	C	135	344	254	56
70	48	P	276	1634	254	290
72	24	C	43	69	254	11
72	24	P	63	130	254	11
72	48	C	65	139	254	22
72	48	P	118	415	254	38
79	24	C	79	200	254	34
79	24	P	152	643	254	175
79	48	C	119	396	254	75
79	48	P	212	1536	254	363
8	24	C	60	162	254	24
8	24	P	194	1390	254	346
8	48	C	105	293	254	38
8	48	P	267	2360	254	520
80	24	C	173	601	254	106
80	24	P	181	619	254	138
80	48	C	190	738	254	129
80	48	P	217	1165	254	286
81	24	C	82	223	254	31
81	24	P	154	477	254	90
81	48	C	116	360	254	33
81	48	P	225	1240	254	180
83	24	C	144	431	254	64
83	24	P	129	551	254	141
83	48	C	151	558	254	105
83	48	P	207	1139	254	271
9	24	C	65	146	254	23
